,Tweets,class
507,u s  stocks appear cheaper than they have since the early days of the covid  pandemic but such bargains won t be enough to power the next leg of the bull market  investors say https   t co wqvzsywydr,1
320,france will no longer require visitors to show proof of a covid vaccine to enter indoor establishments after march   officials announced on thursday  most likely clearing the way for novak djokovic to play at the french open this spring  https   t co ,1
408,in some african nations  armed police are now enforcing covid  shots as health officials discover wariness toward vaccines runs deep https   t co ,1
78,germany treats first italians as coronavirus care crosses borders,0
503,some democrats are zeroing in on the state of the union speech as a pivotal opportunity for president biden to embrace dropping of mask mandates and other rules https   t co ,1
366,when is a person infectious ,0
640,trump s advisors are pushing coronavirus treatments based on profits  not what works  millions may die to appease big pharma s greed,0
1099,covid  in patients with hiv,0
234,canadian protesters were leaving the blockade at the border crossing connecting alberta and montana tuesday  but those at the bridge linking manitoba and north dakota continued to protest the country s covid  vaccine mandates  https   t co ,1
170,white house unveils new covid  response strategy   here s what to know https   t co fvnoekkooq https   t co ,1
449,a shocking update  did the virus originate in the u s  ,0
25,some of the nation s leading public health experts detail in a new report when and how the united states can transition out of the covid  pandemic phase and back into  pre pandemic routines and lives   https   t co ,1
628,police have poured into downtown ottawa  where protests against covid  measures have clogged the streets for nearly three weeks  https   t co ,1
378, we are losing  hong kong races to vaccinate hundreds of thousands of elderly residents as city s coronavirus death rate soars https   t co ,1
372,is there a treatment for the covid  disease ,0
553,how far has it spread ,0
722,what s the most important thing that who can do in the fight against covid  ,0
68,the antiparasitic drug ivermectin doesn t prevent severe disease from covid  any more effectively than symptom management and close observation by medical professionals  according to a new study https   t co ,1
309,china is facing its biggest coronavirus outbreak since the early days of the pandemic  driven by the omicron variant  more than  new cases were reported over the weekend   almost as many as were reported during the previous week  https   t co ,1
1000,the coronavirus pandemic can be dramatically slowed  or stopped  with the immediate widespread use of high doses of vitamin c,0
153,the cdc reports a covid  vaccination disparity between rural and urban areas  with   of residents of urban counties having received at least one dose as of the end of january compared to just   in rural counties  https   t co  https   t co ,1
434,dead  founder of canada s  lab  key to wuhan coronavirus investigation,0
434,several groups are planning protests over issues including covid  vaccine mandates  prompting law enforcement officials to prepare for potential disruptions following similar protests in canada https   t co ,1
868,freshly boiled garlic water is a cure for coronavirus,0
296,covid   perfect cover for mandatory biometric id,0
1038, roger stone  bill gates may have created coronavirus to microchip people,0
500,states are using their own assessment of covid  trends  rather than sticking to cdc guidance  to determine when to drop mask mandates https   t co ,1
185,after two years of wrestling with the covid  pandemic  the aviation industry is once again poised for a decade of growth https   t co  https   t co ,1
166,johnson  amp  johnson s covid  vaccine was far less effective at keeping people out of hospital than the pfizer biontech shot  according to a peer reviewed study published in jama network open wednesday  https   t co ,1
441,the covid  pandemic accelerated a change in america s booze industry as brewers work to stay relevant  while spirits makers see an opportunity for growth https   t co   wsjwhatsnow https   t co rpnyxulkti,1
724,in the absence of approved treatments  what can health care providers do ,0
480,biontech unveiled mobile covid  vaccine production units that it aims to deploy across africa and other regions that have had limited access to supplies  https   t co ,1
683,as the world s democracies confront shared global challenges and brewing crises related to nuclear proliferation  authoritarianism  and the covid  pandemic  south korea is prepared to step up  writes presidential candidate yoon suk yeol  https   t co ,1
297,coronavirus   no vaccine is needed to cure it,0
192,dr  ron paul  don t buy the coronavirus hype,0
417,hong kong s heavy handed response to the latest covid  outbreak risks turning what has been a stream of residents leaving the city into a flood https   t co ,1
65,cnn medical analyst dr  leana wen weighs in on the covid  rules for children  https   t co ,1
94,how covid  spreads,0
420,the cdc on friday eased its guidelines for covid  masking including at schools adding hospital strain to its factors for assessing threat levels across u s  counties https   t co ,1
293,the who  often criticized for being too slow to declare a pandemic two years ago today  now says countries are being too quick to declare it over and let down their guard   the agency urged continued vigilance against covid in several forums this week  https   t co ,1
409,false claim  bill gates planning to use microchip implants to fight coronavirus,0
997,what are the symptoms and complications that covid  can cause ,0
484,covid   the spearpoint for rolling out a  new era  of high risk  genetically engineered vaccines,0
694,how does a virus shift from zoonotic to human to human transmission ,0
257, what are the odds     a timeline of facts linking covid   hiv    wuhan s secret bio lab,0
130,the coronavirus  what scientists have learned so far,0
484,babies born to mothers who got vaccinated during pregnancy were significantly less likely to be hospitalized for covid   a study led by federal researchers showed  adding to growing evidence of the benefits of maternal vaccination https   t co tlhhdqeumu,1
150,our immune systems are under attack under the coronavirus lockdown  here s how to protect it,0
1105,can uv light kill coronavirus ,0
344,hong kong is turning to traditional chinese medicine to treat covid patients  taking another strategy from china s virus playbook  the mainland government donated   boxes of the medicine to help the city fight a surge in cases  state news media said  https   t co ,1
582,the official global death toll from covid  is on the verge of eclipsing  million   the toll is the latest reminder that the pandemic  now in its third year  is far from over   even as people shed masks  businesses reopen and travel resumes globally  https   t co ,1
739,remdesivir  promising but not a  knockout ,0
1077,we have nothing to lose by using hydroxychloroquine to treat covid ,0
332,the mask mandate on the house floor at the u s  capitol is being lifted in time for president biden s state of the union address on tuesday  https   t co ,1
428,wayfair is grappling not only with inflation denting consumers  spending power  but also people shifting their purchases to physical stores as covid  pandemic restrictions ease https   t co ,1
126,tensions stemming from protests spearheaded by canadian truck drivers over the country s covid  mandates have been simmering in recent weeks    so much so that a judge has temporarily banned demonstrators from using horns https   t co ,1
218,wales has become the first u k  country to say it will offer covid  vaccines to all children aged between five and  years old https   t co ,1
600,this mom fought for her life against covid  while under sedation  and breathing with the help of machines  two months after giving birth by emergency cesarean section  she was finally reunited with her new baby  https   t co ,1
97,did china panic the world and steal our wealth with a common cold ,0
1126,here s everything you need to know about social distancing,0
529,hospitals and some lawmakers say federal covid  relief funds are distorting wages for travel nurses at a time when hospitals need those workers to fill holes in their staffing https   t co ,1
276,a majority of americans believe changes to public health guidance on curbing covid  transmission have been confusing  a new pew research poll finds  https   t co fboiiglwac,1
93,how to protect yourself   others,0
987,can the virus that causes covid  be spread through food  including restaurant take out  refrigerated or frozen packaged food ,0
290,covid  raises risk of pregnancy complications including death around birth  preterm delivery and postpartum hemorrhage study finds https   t co  https   t co ,1
501,what to do if you are sick,0
666,wondering about social distancing ,0
1100,coronavirus  what is the r number and how is it calculated ,0
41,covid  coronavirus epidemic has a natural origin,0
940,coronavirus  what it does to the body,0
277,as covid  infections plummet nationwide following a brutal omicron driven surge  pressure has also eased on the country s intensive care units in recent weeks  with hospitals reporting more free icu beds and coronavirus patients taking up fewer spaces  https   t co ,1
217,a conservative political action committee is now recruiting participants for american truck convoys to protest covid  lockdowns and mandates https   t co  https   t co ,1
109,the fda is postponing an advisory panel meeting on authorizing pfizer s covid  vaccine in children under   https   t co ,1
319,the biden administration asked congress to provide    billion in emergency aid on wednesday  seeking to bolster the domestic response to the coronavirus pandemic  and support ukraine in its fight against russia s invasion  https   t co acszirfcgt,1
1010,the us is dramatically overcounting coronavirus deaths  deliberate manipulation  flawed data,0
382,when can we return to normal ,0
222,people who have been vaccinated against covid  are less likely to suffer from long covid if they catch the virus than people who haven t  according to a new review of studies by the u k  health security agency https   t co yeggqjvwbr,1
317,coronavirus   no vaccine needed for healing,0
971,don t buy china s story  the coronavirus may have leaked from a lab,0
208,pentagon study  flu shot raises risk of coronavirus by    and other supporting studies ,0
550,covid  live updates  nyc set to fire up to   unvaccinated workers today https   t co ,1
172,can covid  affect brain function ,0
631,beaking  japan announces plans to ease tough covid  border controls and shorten quarantine requirement following criticism  https   t co ,1
392,watch  what does it actually mean for covid  to enter endemic stage  we break down  factors public health experts use to assess a virus https   t co ,1
441,redfield and birx  can they be trusted with covid ,0
419,a nobel prize winning immunologist said coronavirus is manmade,0
844,how contact tracers could help control covid ,0
274,yes  coronavirus is a bioweapon with gene sequencing that s only possible if it was genetically modified in a lab,0
1115,will ingesting or injecting disinfectants  like the ones that kill viruses on surfaces  protect me against coronavirus or kill coronavirus if i already have it ,0
1045,chinese  spies  stole deadly coronavirus from canada,0
289,video  coronavirus treatment  new york doctor vladimir zelenko finds   success rate in  patients using hydroxychloroquine with zinc,0
559,what is coronavirus disease  ,0
360,the covid  pandemic could last for  years  according to us experts,0
668,breaking  new york gov  kathy hochul announced that the state will end a covid  mask mandate requiring face coverings in most indoor public settings  but will keep masking rules in place in schools  https   t co ,1
91,people who are at higher risk for severe illness,0
1017,how does coronavirus kill  clinicians trace a ferocious rampage through the body  from brain to toes,0
624, by deliberately distributing fraudulent covid  vaccination cards to the unvaccinated  the defendants put military and other communities at risk   brooklyn u s  attorney breon peace said  liu s lawyer declined to comment  https   t co ,1
528,from  wsjopinion  washington bureaucrats  micromanagement of covid  treatments that are safe and effective in varying circumstances has to stop  writes joel zinberg https   t co gzytzobhnx,1
362,what is sars cov   what is covid  ,0
48,new york will no longer require students to wear masks in schools beginning on wednesday  gov  kathy hochul announced sunday  citing steep declines in covid  hospitalizations statewide  https   t co drcyztlhrg,1
1043,the coronavirus was created in the laboratory and is a biological weapon,0
382,moderna signaled it may start enforcing its covid  vaccine patents in wealthy countries  and said monday it is willing to license its patents in those countries on  commercially reasonable terms   https   t co ,1
69,experts dismiss claims that  wireless technology created the novel coronavirus,0
988,can i get sick with covid  if it is on food ,0
307,covid  shows no signs of going away  how do we live with the virus long term  the epidemiologist  billhanage and the psychologist  drsullivanatl join  apoorvanyc on tuesday  march   at   p m  et to answer your questions  dm them to  nytimesevents  https   t co qmtmtrnhmn,1
298,breaking news  the house passed a    trillion federal spending bill that includes aid for ukraine and money to keep the government funded through september  after jettisoning a package to fund president biden s new covid  response effort  https   t co ,1
345,australia has reopened to international visitors nearly two years after shutting its borders in response to the coronavirus    it s been a party out here at sydney airport  everyone is celebrating   the country s minister for tourism said  https   t co jqiywawgnv,1
591,mardi gras is back in new orleans and people are ready to celebrate   fat tuesday  a state holiday in louisiana  will see the return of back to back parades throughout new orleans after festivities were canceled last year due to the covid  pandemic  https   t co ,1
331,dead bodies are piling up on gurneys in hospital hallways as hong kong s health system is overloaded by its biggest coronavirus outbreak of the pandemic  more than  people died from covid  last week  the latest official statistics show  https   t co ,1
752,the long road to reopening,0
670,how to wash your hands,0
606,virus update     who  virus cases fall for the  week  deaths also drop    covid  shots unlikely to prompt rare inflammation in kids    un investigator seeks  vaccine doses for north korea    is omicron leading to herd immunity   more coverage  https   t co ,1
693,will most of humanity be infected by the new coronavirus ,0
580,breaking  the global covid  death toll has hit  million as the pandemic enters its third year  according to statistics compiled by johns hopkins university  https   t co ,1
369,are some people more at risk than others ,0
617,did the  rollout in wuhan damage the innate cellular defense cells of the population  putting the people at risk of complications and death from coronavirus ,0
526,cvs posted higher revenue in the holiday quarter  lifted by the more than  million covid  vaccines it administered in the period https   t co ,1
448,enormous resources and local cooperation enable china to suppress infections with less disruption to life than in countries where covid  still rages https   t co ,1
147,a new study shows the johnson  amp  johnson covid  vaccine was far less effective at keeping people out of the hospital than the pfizer shot  https   t co ,1
949,three intravenous vitamin c research studies approved for treating covid ,0
536,the covid shockdown doctrine   and how to beat it,0
681, the world needs to prepare  mentally and physically  for a future where everyone will be permanently at risk of getting covid   as is true with the common cold or the flu   https   t co rozhwsoknz,1
352,gov  glenn youngkin has signed into law a bill that will effectively bar mask mandates in virginia schools  the bill will also remove school districts  ability to close buildings and switch to remote learning  except in limited circumstances  https   t co ,1
284,is coronavirus a us biowarfare weapon as francis boyle believes ,0
278,coronavirus censorship  entire media falsely claiming zero hedge doxxed scientist by simply naming him as paper author,0
369,the awkwardly sized card that you got when you were vaccinated for covid  never quite fit in your wallet  so it would be no surprise if you ve misplaced yours by now   don t panic  here s what to know  https   t co ,1
159,sars cov    a biological warfare weapon ,0
4,us surgeon general dr  vivek murthy announced friday that he has tested positive for covid  https   t co ,1
338,breaking news  a new  two dose covid vaccine  made by the europe based pharmaceutical companies sanofi and gsk  showed   efficacy against severe disease  and may be an effective booster for other shots  its makers said  https   t co ,1
212,wales has become the first u k  country to say it will offer covid  vaccines to all children aged between five and  years old https   t co ,1
765,should i keep extra food at home  what kind ,0
355,california state s health authorities said on monday that although the state is easing some pandemic restrictions  mask requirements for schoolchildren will remain for at least another two weeks  https   t co ,1
968,coronavirus is a bioweapon leaked from a wuhan lab,0
202,health service leaders have called on the british government to release evidence behind its controversial new  living with covid  policies https   t co mjkodwqibj,1
623,police in ottawa have arrested two protest leaders and threatened to break up the nearly three week demonstration against canada s covid  restrictions  police also began sealing off much of the downtown area to outsiders  https   t co ,1
619,pandemic pandemonium provides opportunity for authoritarians and sociopaths to exploit and control people,0
235,children and adolescents were nearly four times more likely to be hospitalized due to covid  associated complications during this winter s omicron fueled wave compared to the period of delta predominance  according to the cdc  https   t co ,1
184,less than   of ukraine s population is fully vaccinated  and covid treatments will be harder to access in the middle of a war zone https   t co ,1
1083,who impedes the use of cheap  accessible drugs that can effectively cure covid ,0
444,high inflation  a tight labor market  stressed supply chains and dwindling liquidity  it all deepens the challenges that small companies have faced since the onset of the covid  pandemic  https   t co ,1
684, covid  may be shrouded in uncertainty  but one thing is certain  another pandemic is always around the corner   https   t co ,1
258,canadian truckers protesting canada s covid  vaccine mandates have raised    million usd  more than half of the amount they aim to raise  on givesendgo  a christian crowdfunding site  https   t co ,1
1053,the coronavirus is a pretext for the global elites  ambitions to reduce world population,0
625,top hiv aids research dr  judy mikovits blows whistle on dr  fauci  disturbing details of threats  research theft  tainted vaccines  fraud  cover ups,0
412,as the biden administration distributes hundreds of millions of covid  tests  some public health workers are moving to deliver the kits a final mile to people who may not have known how to get them  or that they were even available https   t co dlhsvdzekp,1
666,some estimates suggest more than a third of covid  survivors will develop some symptoms of long covid  which include fatigue  brain fog  shortness of breath and other problems  scientists are racing to figure out what s behind the mysterious condition  https   t co ,1
96,the legislation allows parents to opt their children out of wearing a mask in school without having to provide a reason  and would make gov  glenn youngkin the latest state leader to lift covid  mitigation measures as case numbers decline around the us  https   t co ,1
443,covid   coronavirus  vaccine  get the facts,0
35,in parts of the us  metrics indicate there s a significantly lower risk you ll get sick from covid     and the end of the pandemic stage of covid  may be near  experts say   https   t co tyctmsayhg,1
373,united airlines will allow workers who haven t been vaccinated against covid  for religious or medical reasons to return at the end of this month  according to people familiar with the decision https   t co ,1
659,how contagious is the virus ,0
212,dr  vladimir zelenko provides important update on three drug regimen of hydroxychloroquine sulfate  zinc and azithromycin  z pak  he used to effectively treat  coronavirus patients with   success ,0
978,covid  and hypertension,0
534,estée lauder exec ousted after posting racist covid  meme featuring  sesame street  characters https   t co ,1
467,the senate passed a bill to extend government funding for three weeks after rejecting gop measures on covid  vaccine mandates and drug paraphernalia https   t co ,1
598,the new system greatly changes the look of the cdc s risk map and puts more than   of the u s  population in counties where covid  is posing a low or medium threat to hospitals  https   t co  https   t co ,1
161,florida governor desantis scolds students for wearing face masks to prevent covid  https   t co ulybygdqbh https   t co ,1
458,will holding your breath for  seconds reveal if you have coronavirus ,0
165,the white house is unveiling a new covid  strategy  here s what you need to know  https   t co  https   t co ,1
76,mark finchem  the arizona secretary of state candidate backed by former president donald trump  spread dangerous misinformation about the covid  pandemic on social media https   t co ,1
388,how did abbott s binaxnow become a standout of at home covid  tests  manufacturing horsepower  industry connections and some good fortune  https   t co ,1
143,the florida department of health will formally recommend that healthy children should not get vaccinated against covid   the state s surgeon general said monday https   t co ,1
335,breaking news  the cdc is expected to loosen guidelines for when and where americans should wear masks  allowing most people to go without them indoors  https   t co ,1
9,basic protective measures against the new coronavirus,0
124,read the latest on covid      cdc director says now is not the time to lift covid  mask guidelines     who says global covid  deaths increased by   compared to last week     sweden lifts majority of covid  restrictions  https   t co ,1
279,after months of cycling through anecdotal claims that covid  vaccines may be affecting menstrual cycles and calls for more studies  you may be yearning for some real scientific evidence  https   t co ,1
323,how coronavirus mutations can track its spread and disprove conspiracies,0
58,neil cavuto  an immunocompromised fox anchor who has dissented from the loudest voices at the right wing network and spoken out in favor of covid  vaccines  has revealed he was hospitalized for weeks with a serious case of coronavirus and nearly died  https   t co ,1
272,dr  anthony fauci said that the united states is heading out of the  full blown  pandemic phase of covid  https   t co ,1
537,covid  live updates   who official says reduced testing is concerning   we need to be strategic about this  https   t co ,1
183,after several attempts at getting people to go back to their offices only to be thwarted by the covid  surges  including the delta and omicron variants it may finally happen https   t co ,1
248,study finds increased heart disease  stroke risk after surviving even mild covid  https   t co pznymdhvvv,1
908,how does covid  spread ,0
584,pfizer s new covid  treatment came with a catch when it debuted late last year  it can take months to make the tablets  which involve chemical reactions that take time to develop   here s the latest on supplies  and a look at how paxlovid is made  https   t co evfouwuezr https   t co ,1
629,hundreds of truckers clogging the streets of ottawa in a protest against canada s covid  restrictions are bracing for a possible police crackdown nearly three weeks into the demonstration in the country s capital  https   t co ,1
146,the first modern pandemic,0
607,is omicron leading us closer to herd immunity against covid   experts say it s not likely that the highly transmissible variant   or any other variant   will lead to herd immunity     here s why  https   t co ,1
331,was the new coronavirus accidentally released from a wuhan lab  it s doubtful,0
905,what is covid  ,0
391,how karma works  is it possible that covid  is a successful project of the usa ,0
67,as the number of new covid  cases and hospitalizations slowly falls  cities and states are loosening vaccine and mask requirements https   t co ,1
419,wayfair is grappling not only with inflation denting consumers  spending power  but also people shifting their purchases to physical stores as covid  pandemic restrictions ease https   t co ,1
1114,what s so different about coronavirus that we have to shut down businesses  why practice social distancing now  when we didn t during the sars and swine flu epidemics ,0
92,as of monday  about   of the us population is fully vaccinated against covid  with at least their initial two dose series  and   have received a booster shot  but the pace of booster doses going into arms is the lowest it has been in months https   t co ,1
259,canadian truckers protesting canada s covid  vaccine mandates have raised    million usd  more than half of the amount they aim to raise  on givesendgo  a christian crowdfunding site  https   t co ,1
597,for two years  hong kong successfully insulated most of its residents from covid  and often went months without a single locally spread case  then the omicron variant showed up  the mutation breached hong kong s defenses and has been spreading rapidly  https   t co ,1
363,coronavirus booster shots lose much of their potency after about four months  raising the possibility that some people may need a fourth dose  new cdc data suggest  https   t co ,1
292,an inquiry into britain s handling of covid will include a focus on the experiences of bereaved families and disparities in the effect of the pandemic on different groups  prime minister boris johnson said  https   t co ,1
296,germany reported a record number of new covid cases on wednesday amid a wave of infections fueled by the omicron variant  the same day  the country s government discussed plans to drop most masking and social distancing rules and vaccine requirements  https   t co ,1
208,ivermectin  an antiparasitic drug used by former president donald trump to treat covid  and promoted by some republican legislators  was the focus on a study by the journal of the american medical association  read what researchers found  https   t co  https   t co ,1
389,hybrid immunity from delta infections helped keep omicron deaths low in countries where millions aren t fully vaccinated against covid  https   t co ,1
479,americans are expected to have increased retail spending last month as the omicron surge of covid  eased and prices rose https   t co ,1
1027,covid   coronavirus ,0
1117,can you get coronavirus from touching money   either cash or coins ,0
353,as the omicron wave recedes in the u s   new coronavirus cases have now fallen below the country s delta peak  which topped out at   cases on sept    https   t co ,1
504,the pandemic has caused a reset in modern dating culture https   t co ,1
371,united airlines will allow workers who haven t been vaccinated against covid  for religious or medical reasons to return at the end of this month  according to people familiar with the decision https   t co ,1
546,covid  live updates  d c   ontario to drop vaccine rules as covid restrictions ease around the world  https   t co ,1
660,while a growing number of canadian provinces have moved to lift some covid  precautions as the omicron surge wanes  prime minister justin trudeau has defended federal measures   including a rule that took effect jan   requiring truckers entering canada to be fully vaccinated  https   t co ,1
133,philippine airlines is increasing its scheduled flights by   this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid  restrictions https   t co ,1
440,hong kong s top official said all schools would have early summer holidays to run from march to mid april  with campuses used for covid  testing  isolation and vaccination https   t co melmkjcqyn,1
1065,the plague gods  the geopolitics of epidemic and the bubbles of nothing,0
587,coronavirus  a wuhan laboratory sponsored by soros  virus affects only mongoloid race,0
60,fighting disinformation,0
587,photos  hong kong has ramped up its testing capacity with the help of inflatable mobile laboratories  as the city grapples with tens of thousands of covid  cases daily  https   t co ,1
402,pfizer s covid  vaccine was highly effective at reducing the risk of severe disease in children  years and younger during the omicron surge but didn t work as well at preventing infection  according to a new government study https   t co ajmffpbjrc,1
464,don t buy china s story  the coronavirus may have leaked from a lab,0
53,the interval between first and second doses of the pfizer and moderna covid  vaccines may be as long as eight weeks for certain people  the us centers for disease control and prevention said in vaccine guidance updated on tuesday https   t co ,1
562,how can i help protect myself ,0
889,taking a hot bath does not prevent the new coronavirus disease,0
589,president joe biden announces during state of the union that the u s  is launching a  test to treat  plan to provide free antiviral pills at pharmacies for people that test positive for covid   https   t co ,1
366,after the omicron variant emerged  some early data suggested that saliva samples or throat swabs might be a better way to detect the variant  but a new study suggests that there may be little benefit to using throat swabs instead of nasal swabs  https   t co ,1
586,bill gates  a secret laboratory and a conspiracy of pharmaceutical companies  who can benefit from coronavirus,0
676,how to clean your phone to help protect against coronavirus,0
133,your biggest questions about coronavirus  answered,0
777,what can i do to keep my immune system strong ,0
472,enormous resources and local cooperation enable china to suppress infections with less disruption to life than in countries where covid  still rages https   t co txvbqttraz,1
273,in this segment of  whatsahead   steveforbesceo makes the case for why covid  mandates and lockdowns should be ended now  https   t co ,1
859,is  safe ,0
515,this review outlines traditional chinese medicine treatments for coronavirus infections,0
82,the state of texas has filed a lawsuit seeking to overturn president biden s mask mandate for public transport  marking the latest longshot bid to scrap one of the president s key covid  health measures  https   t co ,1
508,natural protection strategy against the coronavirus,0
468,role of  in the coronavirus epidemic in wuhan china,0
191,less than   of ukraine s population is fully vaccinated  and covid treatments will be harder to access in the middle of a war zone https   t co ,1
265,is coronavirus a manufactured bioweapon that chinese spies stole from canada ,0
832,is it safe to take ibuprofen to treat symptoms of covid  ,0
195,after several attempts at getting people to go back to their offices only to be thwarted by the covid  surges  including the delta and omicron variants it may finally happen https   t co ,1
359,why vaccines are the only real solution to pandemics  according to gavi,0
899,are there any specific medicines to prevent or treat the new coronavirus ,0
591,sooner or later  americans will have to choose between freedom and a micro chipped vaccine,0
181,roughly   million children around the world have lost a parent or caregiver to covid   according to a study published in the lancet child  amp  adolescent health medical journal  https   t co omspkemtdf,1
715,what are some of the major challenges to global cooperation in this coronavirus outbreak ,0
543,china cures coronavirus with vitamin c  research suggests selenium,0
351,corona   the aftermath,0
767,what precautions can i take when unpacking my groceries ,0
479,robert f  kennedy jr says dr  fauci and bill gates stand to profit from covid  vaccine,0
157,a word on coronavirus ,0
661,a bumper to bumper truck blockade by canadians protesting the country s covid  restrictions is in its fourth day  https   t co ,1
403,the rapid growth of life sciences research during the pandemic is triggering a record development boom for new labs and offices serving these companies https   t co ,1
649,how to protect yourself and prepare for the coronavirus,0
79,a federal judge in georgia has ruled that an anonymous air force officer does not have to receive a covid  vaccine  despite the military s vaccine mandate  because of her religious beliefs  https   t co ,1
1019,covid  is killing  times more people per week than flu does  new paper says,0
847,cases of coronavirus in the united states linked to the rollout of   the fifth generation wireless technology,0
545,covid  live updates  vaccines could lower risk of  long covid   u k  health agency says  https   t co gjwhfcwzjj,1
214,new updates from dr  vladimir zelenko  cocktail of hydroxychloroquine  zinc sulfate and azithromycin are showing phenomenon results with  coronavirus patients treated   must watch video,0
337,will eating bananas prevent coronavirus infection ,0
1079,vaccines don t heal  their production is part of the agenda for a new world order,0
154,florida governor desantis scolds students for wearing face masks to prevent covid  https   t co  https   t co ,1
107,dead  founder of canada s  lab  key to wuhan coronavirus investigation,0
393,senate republicans passed a measure backing the termination of the government s two year old emergency declaration on the covid  pandemic  taking advantage of several democratic absences in the   chamber https   t co ,1
88,infectious disease expert discusses what we know about the new virus in china,0
323,women  and particularly pregnant women  have been disproportionately affected by the coronavirus pandemic in the americas  and countries in the region need to give women s health higher priority  the who said  https   t co ,1
540,the full story behind  fauci s    million to wuhan  flu cv overlap   it was always israelgate,0
327,bat virus  bioweapon  what the science says about covid  origins,0
1036,vitamin c can cure coronavirus,0
255,after months of cycling through anecdotal claims that covid  vaccines may be affecting menstrual cycles and calls for more studies  you may be yearning for some real scientific evidence  https   t co ,1
391,from canceled vacation trips to cutting back on dining out  chinese consumers have remained cautious  refusing to spend like westerners during the covid  era  that is becoming a bigger worry for beijing as it tries to reignite growth  https   t co ,1
135,the geopolitical consequences of covid   over the cliff,0
429,the cdc plans to release new recommendations friday for when mask wearing should be considered to protect against covid  https   t co ,1
575,the official global death toll from covid  has eclipsed  million   underscoring that the pandemic is far from over   here are the stories of some of the people who died during the pandemic  and the impact they had on those they left behind   https   t co keadgfsuew https   t co ,1
1047,the coronavirus linked to a winnipeg laboratory,0
599,the new cdc mask measures are for communities where covid  is easing its grip  with less of a focus on positive test results and a greater focus on what s happening in hospitals  https   t co ,1
398,european unity   poland reportedly closed airspace for russian aircraft delivering medical aid to italy,0
594,new ap norc poll  omicron is fading away  and with it  americans  worries about covid     fewer say they re concerned they ll be infected now compared to january following the rise and fall of the contagious variant  https   t co ,1
677, questions parents may have about coronavirus,0
633,newly discovered evidence shows who plotted with fauci   birx to destroy us economy,0
962,coronavirus pandemic simulation run  months ago predicts  million people could die,0
156,the new coronavirus vaccine could be more damaging than the disease itself,0
934,coronavirus was produced in a laboratory  former cia intel officer,0
950,early large dose intravenous vitamin c is the treatment of choice for  ncov pneumonia,0
378,how can i avoid getting infected ,0
654,canadian authorities are headed for court in an attempt to break the bridge blockade by truckers protesting the country s covid  restrictions  the standoff on the ambassador bridge has caused shortages that have rippled through the auto industry  https   t co ,1
200,a larger share of voters are now more concerned about the economic consequences of the covid  pandemic than the public health fallout for the first time since it began  a new morning consult poll finds  https   t co ,1
570, the world has watched us learn in real time how to treat covid    two years in  experts know a lot more about the coronavirus than they did at the start of the pandemic   here s a look at how the pandemic has changed  https   t co ,1
682,for now  eliminating covid  is a pipe dream  write abhijit v  banerjee and esther duflo  wealthy countries must make smart investments to mitigate the virus  global impact and not turn their backs on the developing world once again  https   t co ,1
182,shocking coronavirus update  u s  government funded virus research inside china with a    million grant,0
848,bill gates   the vatican agenda  vaccinate  million by   coronavirus vaccine   depopulation,0
521,u s  and canadian officials expressed concern about supply chain disruption amid an ongoing protest at the border against covid  vaccine mandates  wsjwhatsnow https   t co  https   t co ,1
723,what does  preparedness  in a country really mean ,0
339,alex jones ordered to stop selling fake coronavirus cures,0
450,queen elizabeth has tested positive for covid   the  year old british monarch is experiencing  mild cold like symptoms   buckingham palace said   https   t co ,1
686,who knew grocery shopping could be so stressful ,0
786,what are cytokine storms and what do they have to do with covid  ,0
555,a study finds that guayaquil likely had the most lethal outbreak of covid  per capita  about  per cent of the city s residents were infected during march and april of   by the end of april the death rate was nine times what it would normally be  https   t co ,1
93,tyrese gibson is mourning the death of his mother priscilla murray  who died on monday from covid  and pneumonia  according to the actor https   t co ,1
708,how much will mortality rates vary from country to country given differing levels of health system preparedness and response resources ,0
387,novavax says it has resolved the manufacturing problems that delayed u s  authorization of its covid  vaccine  health regulators have begun their review   https   t co ,1
32,why hand washing really is as important as doctors say,0
509,the fda has asked for more time to decide whether to expand authorization of the pfizer biontech covid  vaccine to children under  years  saying it wants to consider more data https   t co uqkvimqmbu,1
52,reporters covering the covid  vaccine protests in ottawa  canada face near constant harassment from protesters  cnn s paula newton explains what she s seen on the ground https   t co  https   t co elranfsinb,1
144,covid  was linked with  significant  and damaging brain abnormalities even in mild cases  according to a study published in nature on monday  shedding light on what could be behind the lingering symptoms of long covid  https   t co ,1
64,britain s queen elizabeth tests positive for covid  and is experiencing mild cold like symptoms  buckingham palace announces https   t co ,1
130,covid  has pushed americans back to grandma s kitchen where meatloaf  not beyond meat  is on the menu https   t co  https   t co ,1
711,how do disease detectives find the source of an outbreak like this ,0
454,covid  vaccines have been highly effective and very safe  but for a small minority the side effects have been serious  leaving governments grappling with how to handle hundreds of injury claims https   t co ,1
393,western media talks up big pharma s search for coronavirus vaccine while ignoring use of high does vitamin c to save lives in china,0
1111,how does soap kill coronavirus  if i don t have disinfecting wipes  can i use soap and water on surfaces ,0
172, stop looking at covid as a partisan dividing line     president biden urges america to treat covid  like a disease  not a point of politics during the  sotu  https   t co ,1
62,while the eu aims to work cooperatively and constructively with its neighbours  we will always disclose harmful disinformation and its sources ,0
